NodeId,Name,Degree,Betweenness,Eig,ClustCoeff
2238,Robert_W._Heath_Jr.,18,47.4611931126859,0.13605404624139963,0.3006535947712418
13434,Andrea_Montanari,9,72.15109186780947,0.016740197164639106,0.3333333333333333
20213,Hong_Yang,11,11.415628815628816,0.07514882835275277,0.509090909090909
25647,Suhas_N._Diggavi,9,147.66219745863057,0.019468060149547564,0.3055555555555556
25788,Henk_Wymeersch,7,1.825,0.056929328597611434,0.6666666666666666
27441,Gabriel_H._Tucci,2,0.0,0.028504223118690008,1.0
27526,Muriel_Medard,14,436.89683386440976,0.030945172691824185,0.2087912087912088
60265,Sriram_Vishwanath,14,278.06208320072864,0.0855942822019928,0.24175824175824176
60429,George_K._Karagiannidis,10,9.75770292509423,0.07424075208082186,0.4888888888888889
60595,Michail_Matthaiou,10,5.313674705304896,0.07362983608126458,0.6222222222222222
60723,Robert_Schober,8,8.257656083615164,0.06338381239692459,0.6071428571428571
60773,Emad_Alsusa,5,0.0,0.035190700979507945,1.0
60953,Georgios_B._Giannakis,9,7.4498729240108545,0.07418975504781343,0.4722222222222222
61299,Arafat_Al-Dweik,6,1.8333333333333333,0.0393041977242324,0.7333333333333333
61571,Chau_Yuen,9,4.4519230769230775,0.07629386676509425,0.6111111111111112
61652,Emil_Bjornson,21,51.06934937697321,0.11122911785112889,0.319047619047619
61797,Naofal_Al-Dhahir,10,81.06998324967986,0.0749130935937111,0.4
62240,Luca_Sanguinetti,11,9.368470783602362,0.06792811886090942,0.4727272727272727
62393,Daniel_K._C._So,6,1.8333333333333333,0.03984276721379867,0.7333333333333333
62756,Elza_Erkip,9,90.47643936968784,0.06562269497556254,0.3611111111111111
63281,Fredrik_Tufvesson,11,27.488708031099335,0.068892612451387,0.509090909090909
63282,Giuseppe_Caire,18,600.9879550173649,0.08673345687581713,0.16339869281045752
63602,Vahid_Tarokh,7,53.97446946059703,0.06170626318154113,0.38095238095238093
64128,Angel_E._Lozano,19,24.257936507936506,0.18430800501735603,0.6198830409356725
64397,Harish_Viswanathan,20,46.96358905121534,0.1923696435504206,0.5631578947368421
64950,David_J._Love,9,8.16456043956044,0.07384308669999244,0.4166666666666667
65009,Jian_Li_0001,6,1.6666666666666665,0.04607310281189468,0.6666666666666666
65068,Petar_Popovski,13,65.21139115527532,0.08962067810834369,0.358974358974359
65460,Dan_Avidor,14,0.0,0.16072719150123474,1.0
65486,Urs_Niesen,7,210.50231430341967,0.04274123774968829,0.2857142857142857
65487,Jubin_Jose,5,2.4619047619047616,0.05174849459138263,0.7
66242,Hien_Quoc_Ngo,9,4.957024348200818,0.07321801735275178,0.6944444444444444
66644,Shlomo_Shamai,14,1049.4483388649387,0.0602076029872574,0.25274725274725274
66767,Erik_G._Larsson,27,130.03517319289622,0.14706762426006564,0.23646723646723647
67736,Constantinos_B._Papadias,16,7.346825396825396,0.1724243887671153,0.8166666666666667
68183,Bixio_Rimoldi,7,200.4945199198263,0.01025985950388943,0.3333333333333333
68299,Sayandev_Mukherjee,15,6.25,0.1648406882459592,0.8761904761904762
69165,Alexei_E._Ashikhmin,25,303.856927293366,0.13166038119976808,0.25666666666666665
69618,Petre_Stoica,7,5.581239082554872,0.049717732320405036,0.5238095238095238
70004,Khairi_A._Hamdi,5,0.0,0.035190700979507945,1.0
70149,Merouane_Debbah,16,208.78879952248758,0.1027479805530608,0.35833333333333334
70524,Lin_Zhong_0001,6,0.0,0.03915327689401699,1.0
70982,Chih-Lin_I,12,26.47970806444248,0.08396098090389158,0.3787878787878788
71255,Liangbin_Li,3,0.0,0.03883767132868321,1.0
73636,Reinaldo_A._Valenzuela,16,13.291853408029882,0.17270045839344492,0.8083333333333333
73771,Suman_Das,15,7.998902227168145,0.16436317174415077,0.8761904761904762
74392,Fredrik_Rusek,9,7.098268398268399,0.06747361367261667,0.5555555555555556
74394,Ove_Edfors,7,0.4,0.05574844725254617,0.9047619047619048
74747,Can_Emre_Koksal,5,263.83649977454826,0.013998257339500013,0.4
75268,Buon_Kiong_Lau,6,0.0,0.049585486297345355,1.0
75537,Meysam_Sadeghi,5,0.125,0.05003059648719728,0.9
75937,Bhaskar_D._Rao,5,1.2361111111111112,0.048960968551263716,0.7
76432,Aris_L._Moustakas,8,11.184817477208783,0.0580272605473099,0.5357142857142857
76516,Larry_A._Shepp,3,0.5,0.029723701835304386,0.6666666666666666
98993,Erdal_Arikan,4,1.5595238095238093,0.0055022277231456555,0.6666666666666666
100679,Patrick_Thiran,4,4.449751637251641,0.002430147088624954,0.6666666666666666
110091,Hang_Yu,6,0.0,0.03915327689401699,1.0
140997,Alfred_O._Hero_III,3,0.5,0.03190590865419554,0.6666666666666666
162677,Yanwei_Wang,3,0.0,0.03203859738175348,1.0
182202,Mani_Bastani_Parizi,2,0.0,0.0017319717373918326,1.0
200922,Elie_Najm,2,0.0,0.0013860071819751555,1.0
226756,Martin_Vetterli,8,13.423800056152999,0.002919658450072505,0.4642857142857143
226832,Kyle_Jamieson,3,0.0,0.002268368658303382,1.0
226954,Clayton_Shepard,6,0.0,0.03915327689401699,1.0
244119,Emmanuel_Abbe,6,4.001428571428571,0.004500515457939374,0.4666666666666667
263322,Jakob_Hoydis,6,0.7435897435897435,0.050770253787240475,0.8666666666666667
280048,Leonid_I._Perlovsky,1,0.0,0.026419732166231964,0.0
283712,Sergio_Verdu,6,35.258802507862505,0.012211883868717192,0.4666666666666667
283725,Neri_Merhav,6,41.54178195994618,0.00728395371317304,0.4666666666666667
294586,Olivier_Roy,5,0.0,0.0017911921450016655,1.0
340672,Ayfer_Ozg?r,5,32.119362745098044,0.007255005799083834,0.6
362667,Yang_Richard_Yang,7,1.3333333333333333,0.04981183267579838,0.8095238095238095
366200,Piyush_Gupta,18,157.50973270703415,0.17181522713596417,0.6405228758169934
366875,Mohammad_Karzand,2,0.0,0.0031198839946519354,1.0
367373,Erran_L._Li,7,1.3333333333333333,0.04981183267579838,0.8095238095238095
367471,Angeliki_Alexiou,16,5.296825396825397,0.17207830406984798,0.825
384448,Prabhu_Babu,3,0.0,0.03203859738175348,1.0
384786,Jonathan_Ling,14,0.0,0.16072719150123474,1.0
385402,Elisabeth_de_Carvalho,9,5.301190476190476,0.07505937101351152,0.5277777777777778
387784,R?diger_L._Urbanke,13,1235.5842895194219,0.057057626546009224,0.28205128205128205
388722,Babak_Hassibi,9,67.0223424001138,0.06577880570432643,0.3611111111111111
390259,Thomas_W._Parks,2,0.0,0.02806601331754439,1.0
402592,Narendra_Anand,6,0.0,0.03915327689401699,1.0
412943,Thomas_J._Richardson,6,76.71508826049337,0.04909328005125498,0.5333333333333333
425917,Stefan_Wesemann,1,0.0,0.026419732166231964,0.0
425949,Alexei_Ashikhmin,13,134.93757433918293,0.08004175131613532,0.32051282051282054
425950,Thomas_L._Marzetta,105,6724.394706641381,0.45040841138845583,0.07124542124542124
426504,Mahesh_Godavarti,3,7.012001723766428,0.03182289717185889,0.6666666666666666
426743,Dawei_Ying,4,0.25,0.049663209096384164,0.8333333333333334
426744,Bertrand_M._Hochwald,35,489.6739923829385,0.24726799632232496,0.2672268907563025
426886,Thierry_E._Klein,15,5.291666666666667,0.16537925773552548,0.8761904761904762
426989,Nihar_Jindal,7,12.209719875305172,0.06362904808129755,0.47619047619047616
427023,Federico_Boccardi,7,2.5251547858746,0.0688136053092684,0.6666666666666666
427346,Saeid_Haghighatshoar,5,50.11422265362832,0.007676308094411082,0.4
427515,Brian_L._Hughes,4,0.0,0.04966968575763653,1.0
428147,Elina_Nayebi,4,0.0,0.041422614789272935,1.0
429286,Ramtin_Pedarsani,4,25.350697238777748,0.004263799672410491,0.5
429382,Wahyu_Pramudito,5,0.0,0.035190700979507945,1.0
438523,Wim_Sweldens,5,1.342857142857143,0.05100864268933128,0.8
442221,Sape_J._Mullender,14,0.0,0.16072719150123474,1.0
444405,David_Tse,10,125.7474750901095,0.020034982046584774,0.26666666666666666
473344,Adriaan_J._de_Lind_van_Wijngaarden,10,0.0,0.08253607034592338,1.0
473388,Ansuman_Adhikary,4,2.9678571428571425,0.04392525147716725,0.6666666666666666
473678,Robin_Jess-Williams,3,0.0,0.036079449174794775,1.0
475220,Daniel_Persson,7,0.4,0.05574844725254617,0.9047619047619048
508584,Shao-Lun_Huang,3,1.660727169748665,0.003383882021175291,0.6666666666666666
731336,Seyed_Hamed_Hassani,5,19.038378898363415,0.005410232000456073,0.6
841527,Shahram_Shahsavari,4,0.0,0.04268692939671853,1.0
841554,Kumar_Appaiah,3,0.0,0.03916334083452,1.0
852207,Edmund_M._Yeh,5,21.686733387486026,0.009545953564072028,0.6
852357,Satish_Babu_Korada,5,0.9261904761904761,0.006374262218052892,0.7
855204,Andrea_Pizzo,3,0.0,0.036928718954941174,1.0
889431,Saif_K._Mohammed,6,6.640750915750916,0.05281732115076467,0.6
890473,Peter_Bosch,14,0.0,0.16072719150123474,1.0
931497,Salman_Salamatian,3,0.0,0.0035471522848307636,1.0
931640,Mine_Alsan,1,0.0,0.0013047034472130042,0.0
1044358,Luciano_Sbaiz,5,0.0,0.0017911921450016655,1.0
1044957,I._Emre_Telatar,10,71.07060017133787,0.014469505018161983,0.3111111111111111
1046099,Steven_H._Simon,4,1.0,0.03553656574131745,0.6666666666666666
1047007,Fabio_Fernandes,3,0.0,0.03916334083452,1.0
1049514,Sibi_Raj_Bhaskaran,1,0.0,0.0013047034472130042,0.0
1081976,Ahmad_A._I._Ibrahim,3,0.0,0.0354462380899703,1.0
1106172,Aslan_Tchamkerten,5,23.576931325070483,0.010923322175266564,0.3
1106397,Rajai_Nasser,2,0.0,0.0013860071819751555,1.0
1106398,Emre_Telatar,44,2478.0746154902417,0.022242156831144937,0.07716701902748414
1106468,Lawrence_A._Shepp,2,0.0,0.028163249386964583,1.0
1106640,Ido_Tal,4,0.75,0.0022955669506101177,0.6666666666666666
1106846,Stephen_W._Lang,1,0.0,0.026419732166231964,0.0
1107029,Jack_Salz,2,0.0,0.028163249386964583,1.0
1107175,Peter_Berlin,3,0.0,0.0020253366991036534,1.0
1107176,Baris_Nakiboglu,3,0.0,0.0020253366991036534,1.0
1107245,Serj_Haddad,2,0.0,0.0017302720758738232,1.0
1107489,Eren_Sasoglu,7,24.717699066499378,0.007218024820151411,0.38095238095238093
1107622,Robert_L._Konsbruck,5,0.0,0.0017911921450016655,1.0
1132934,Paul_A._Wilford,10,0.0,0.08253607034592338,1.0
1244904,Yunus_Inan,1,0.0,0.0013047034472130042,0.0
1344242,Xiangkun_Chen,2,0.0,0.02806601331754439,1.0
1345265,Kai_Hsu,1,0.0,0.026419732166231964,0.0
1346304,Thibaut_Ajdler,5,0.0,0.0017911921450016655,1.0
1421448,Zhao_Haibo,10,0.0,0.08253607034592338,1.0
1421449,Vinay_Purohit,10,0.0,0.08253607034592338,1.0
1421450,Chen_Qinghong,10,0.0,0.08253607034592338,1.0
1421451,Sheng-Rong_Zhou,10,0.0,0.08253607034592338,1.0
1421452,Michael_A._Zuniga,10,0.0,0.08253607034592338,1.0
1421453,Edward_S._Zuranski,10,0.0,0.08253607034592338,1.0
1653242,Tom_Marzetta,2,0.0,0.029517876415994355,1.0
1920480,Etienne_Perron,3,0.0,0.003295421029297512,1.0
1947411,Nicolae_Chiurtu,2,0.0,0.0019065303206792948,1.0
1970358,Stephane_Musy,1,0.0,0.0013047034472130042,0.0
